Date	Ping ms	Up MBit	Down MBit
Sun 9 Oct 16:49:00 CEST 2016 	32.147	53.34	7.07
Sun 9 Oct 17:04:36 CEST 2016 	33.917	53.86	7.03
Sun 9 Oct 17:20:11 CEST 2016 	32.587	53.35	7.07
Sun 9 Oct 17:35:48 CEST 2016 	29.252	54.22	5.55
Sun 9 Oct 17:51:25 CEST 2016 	27.693	54.24	7.04
Sun 9 Oct 18:07:01 CEST 2016 	30.623	54.43	7.04
Sun 9 Oct 18:22:36 CEST 2016 	28.983	53.51	6.95
Sun 9 Oct 18:38:08 CEST 2016 	31.246	54.29	6.15
Sun 9 Oct 18:53:43 CEST 2016 	33.052	53.75	6.94
Sun 9 Oct 19:09:19 CEST 2016 	28.066	52.54	5.59
Sun 9 Oct 19:24:54 CEST 2016 	29.56	53.27	6.99
Sun 9 Oct 19:40:29 CEST 2016 	29.137	52.97	6.73
Sun 9 Oct 19:56:05 CEST 2016 	30.762	54.05	7.14
Sun 9 Oct 20:11:41 CEST 2016 	29.585	53.40	7.03
Sun 9 Oct 20:27:17 CEST 2016 	30.489	52.82	6.91
Sun 9 Oct 20:42:52 CEST 2016 	27.19	52.30	6.93
Sun 9 Oct 20:58:27 CEST 2016 	30.17	53.21	7.15
Sun 9 Oct 21:14:03 CEST 2016 	31.781	54.42	7.04
Sun 9 Oct 21:29:38 CEST 2016 	29.656	52.10	6.79
